SMILES,QMOF
[O-]C(=O)c1cc2c3c(c1)c(N(=O)=O)c(c1c3c(c(c2N(=O)=O)N(=O)=O)cc(c1)C(=O)[O-])N(=O)=O.[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.201034
Cl[Cd].O=C1[N]NC(=O)c2c1nccc2&&fes.cat0,2.0555
[Zn].c1ccc2c(c1)N=C[N]2&&sod.cat0,3.677709
[Cu].[O-]C(=O)CCc1cccnc1&&sql.cat0,0.959976
Fc1cncc(c1C#Cc1c(F)cncc1F)F.[O-]C(=O)c1c(Cl)c(Cl)c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1cc(F)c(c(c1)F)C#Cc1c(F)cc(cc1F)C(=O)[O-].[Zn][Zn]&&pcu.cat0,1.098963
[Ag].[CH]1C=CC2=NN=NC2=C1.c1ccc2c(c1)N=N[N]2&&fes.cat0,2.77796
Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].O=C(c1cccnc1)NCCCCCCNC(=O)c1cccnc1.[Cd]&&sql.cat0,2.432054
[Cd].[O-]C(=O)c1ccc(cc1)CN1[N]C=N[CH]1&&rtl.cat0,3.402861
[C]#N.[Fe].[Pd]&&sql.cat1,1.413432
Cl[Cd]Cl.c1ncn(c1)Cc1cc(Cn2cncc2)c(cc1Cn1cncc1)Cn1cncc1&&cds.cat0,3.401493
[Cd].[O-]C(=O)c1cccc(c1)C(=O)[O-].c1ncn(c1)Cn1cncc1&&sql.cat3,3.421683
NCCNCCCN.[Cd].[S]C#N&&dia.cat0,4.218483
[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O].[V]&&rna.cat0,1.015868
[Cd].[O-]C(=O)c1cc2N=C[N]c2cc1C(=O)[O-].[OH2][Cd][OH2]&&ant.cat0,3.314558
C1SCCS1.I[Cu][Cu]I&&sql.cat0,2.642908
[Cu][Cu].[O-]C(=O)CCC(C(=O)[O-])C.n1ccc(cc1)c1ccncc1&&rob.cat0,0.589855
O=N(=O)C1=NN=C[N]1.[Cu]&&srs.cat0,0.907318
CNc1cc2cc(cc3c2c2c1cc(cc2cc3NC)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccncc1&&pcu.cat0,0.608934
N#CC1C(C)C2(C#CC(=O)[O-])CC(C1(C#CC(=O)[O-])CC2C)C.N#CC1CC2(C#N)CCC1(C#N)C(C2)C#N.[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])C.[Zn][Zn]&&pcu.cat0,2.954124
N#C[N]c1cc(C)c(cc1C)[N]C#N.[Cu]&&dia.cat0,0.071193
[Cd].[O-]C(=O)C=Cc1ccncc1&&dia.cat1,2.4176
[Cu][Cu].[O-]C(=O)c1ccc(cc1)C(=O)[O-].c1ncn(c1)c1ccc(cc1)c1ccc(cc1)n1cncc1&&pcu.cat0,0.549183
Fc1cncc(n1)F.[O-]C(=O)c1ccc(c(c1F)F)C(=O)[O-].[O-]C(=O)c1ccc(c2c1C(C2(Br)Br)(Br)Br)C(=O)[O-].[Zn][Zn]&&pcu.cat0,1.982718
CCP(=O)(c1ccccc1)CP(=O)([O])[O].[Zn]&&hcb.cat0,3.222721
Fc1cc(C2=C[N]N=C2)c(cc1[C]1C=NN=C1)F.Fc1cc([C]2C=NN=C2)c(cc1[C]1C=NN=C1)F.[Co]&&dmd.cat0,0.760797
FC1=C([C](N=N1)Cl)[C]([C](C(=C(C1=C(F)N=N[C]1Cl)F)Cl)Cl)F.F[C](C(=C(C1=C(Cl)[N]N=C1F)Cl)Cl)[C]([C]1C=NN=C1Cl)Cl.F[C]([C]([C](C1=C(Cl)[N]N=C1F)Cl)Cl)[C]([C]1C=NN=C1Cl)Cl.F[C]1N=NC(=C1C12C3C4C1C1(C2(C3C41C1=C(F)N=N[C]1F)F)F)F.[Zn]&&hex.cat0,2.458928
[O-]C(=O)c1ccc2c(c1)C(=O)N(C2=O)Cc1ccncc1.[Zn]&&sql.cat1,2.111037
C1CN2CCN1CC2.[Ni].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].n1ccc(cc1)c1ccncc1&&hms.cat0,0.565886
OC(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)c1cc(O)c(c2c1CC2)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43&&fcu.cat0,1.753866
[Mn].[O-]C(=O)CN1[CH]C=C(C=C1)C1=C[CH]N(C=C1)CC(=O)[O-].[O]C#N&&cpf.cat0,0.004882
[Al].[O-]C(=O)c1ccc(cc1Br)C=Cc1ccc(c(c1)Br)C(=O)[O-]&&ttp.cat0,1.949225
N#C[N]C#N.[Co].[O-][n+]1ccc(cc1)CCc1cc[n+](cc1)[O-]&&mab.cat0,0.385177
[O-]C(=O)C(=O)C=Cc1c(Cl)nc2n1cccc2.[Zn]&&kgd.cat0,1.766716
[O-]C(=O)c1c(Cl)c(Cl)c(c2c1CC2)C(=O)[O-].[O-]C(=O)c1sc2c(c1F)sc(c2F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.510074
[C]#N.[Cu]&&sql.cat0,1.240739
O=C(C(=O)Nc1cccnc1)Nc1cccnc1.[OH2][Zn][OH2].[O]S(=O)(=O)[O]&&ins.cat0,2.757481
[O-]C(=O)c1ccc(c(c1)S(O)([O])[O])C(=O)[O-].[O-]C(=O)c1ccc(c(c1)S([O])(O)[O])C(=O)[O-].[O-]C(=O)c1ccc(c(c1)S([O])([O])O)C(=O)[O-].[O-]C(=O)c1ccc(c2c1cc(O)c(c2)O)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43&&fcu.cat0,1.476158
[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)O)C(=O)[O-].n1ccc(cc1)CCc1ccncc1&&hms.cat1,3.124226
[O-]C(=O)c1ccc(c(c1C)C)N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(cc1)C(=O)N(C3=O)c1ccc(c(c1C)C)C(=O)[O-].[O-]C(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)[O-].[Zn][Zn].n1ccc(cc1)C#Cc1ccncc1&&pcu.cat0,1.124097
CCOC1Cc2c1c(cc(c2C(=O)[O-])C=O)C(=O)[O-].CCOC1c2c(ccc(c2C1(OCC)OCC)C(=O)[O-])C(=O)[O-].[Al].[O-]C(=O)C#CC#CC#CC(=O)[O-].[OH]&&rna.cat0,1.539707
O=Cc1c(cc(c(c1I)C(=O)[O-])I)C(=O)[O-].O=Cc1cc(C(=O)[O-])c(c(c1C(=O)[O-])I)C=O.O=Cc1cc(C(=O)[O-])c(cc1C(=O)[O-])I.O=Cc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)C12C3C4(C2(C2C1(C3(C42C(=O)[O-])I)I)I)I.[Zn][Zn]&&nbo.cat0,1.961438
[O-]C(=O)c1c(C)c(C)c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43&&fcu.cat0,2.045515
CCCOc1cc(C(=O)[O-])c(c2c1ccc1c2cc(c2c1cc(cc2)C(=O)[O-])OCCC)OCCC.CCCOc1cc2c3cc(cc(c3cc(c2c2c1c(Br)cc(c2)C(=O)[O-])OCCC)Br)C(=O)[O-].[Al].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[OH]&&rna.cat0,1.460784
[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]&&dmd.cat0,2.266368
[Cd].[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)[O].n1ccc(cc1)C=Cc1ccncc1&&sql.cat0,2.556789
O[Hf]123([OH2])[OH]4[Hf]56[O]3[Hf]37([OH]2[Hf]28[O]1[Hf]14([O]6[Hf]([OH]53)([OH]21)([O]78)([OH2])O)([OH2])O)([OH2])O.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]&&bcu.cat0,2.737686
Clc1c(C#Cc2ccc(c(c2)Cl)C(=O)[O-])cc(c(c1N)C(=O)[O-])N.Nc1c(C#Cc2c(N)c(N)c(c(c2Cl)N)C(=O)[O-])c(N)c(c(c1N)C(=O)[O-])N.O[Al][O]([Al])[Al].[O-]C(=O)C#Cc1c(N)c(N)c(c(c1Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1cc(Cl)c(c(c1Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1cc(N)c(c(c1N)Cl)C#CC(=O)[O-].[O-]C(=O)c1c(N)cc(cc1Cl)C#Cc1cc(Cl)c(c(c1Cl)N)C(=O)[O-]&&acs.cat0,0.460658
[Al].[O-]C(=O)c1cc(F)c(c(c1)F)C#Cc1c(F)cc(cc1F)C(=O)[O-]&&ttp.cat0,2.087163
[O-]C(=O)CSc1ccncc1.[Zn]&&hcb.cat0,2.820437
[Cd].[O-]C(=O)c1ccc(cc1)n1c(C)nnc1C&&dia.cat0,3.195
NC1C(N)c2c1c(ccc2C(=O)[O-])C(=O)[O-].NC1Cc2c1c(cc(c2C(=O)[O-])N)C(=O)[O-].NC1Cc2c1c(ccc2C(=O)[O-])C(=O)[O-].[O-]C(=O)C12CCC(C(C1)N)(C(C2)N)C(=O)[O-].[O-]C(=O)c1ccc(c2c1CC2)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,1.934238
[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)c1c(C)cc(cc1C)c1nnc(nn1)c1cc(C)c(c(c1)C)C(=O)[O-].[Zn][Zn]&&nbo.cat0,1.408275
OC(=O)c1ccccc1P(=O)(c1ccccc1C(=O)O)[O].[Ag]&&hcb.cat1,2.886435
N1=C[N]N([CH]1)c1cccc(c1)N1[N]C=N[CH]1.[Cu].[O-]C(=O)c1cccc(c1)C(=O)[O-]&&sql.cat0,0.905206
C1N2CN3CN1CP(C2)C3.[Ag].[O-]C(=O)CC(c1ccccc1)CC(=O)[O-]&&cem-d.cat1,3.265329
[N]([CH]c1ccncc1)[N][CH]c1ccncc1.[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn][Zn]&&rob.cat0,1.713994
[Cu].[O-]C(=O)C1=NN=C([CH]1)c1ccccn1.[O-]C(=O)C1=N[N]C(=C1)c1ccccn1&&fes.cat0,0.454088
OC(=O)c1cc(ccc1C=Cc1ccc(cc1C(=O)O)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1ccc3c(c1cc2)cc(cc3)C(=O)[O-].[Zn][Zn].n1ccc2c(c1)c1ccc3c(c1cc2)cncc3&&pcu.cat0,1.755519
[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C12C3C4(C2(C2C1(C3(C42C(=O)[O-])I)I)I)I.[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,1.983732
[Al].[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[O-]C(=O)c1sc2c(c1O)sc(c2O)C(=O)[O-].[OH]&&rna.cat0,2.399239
[O-]C(=O)c1cc(N(=O)=O)c(cc1N(=O)=O)C(=O)[O-].[O-]C(=O)c1sc2c(c1)sc(c2Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,1.91347
[Cu][Cu].[O-]C(=O)CCCC(=O)[O-].n1ccc(cc1)C=Cc1ccncc1&&rob.cat0,0.223365
"[O-]C(=O)[CH][CH][C]1C=C[C](N1C=Cn1c([CH][CH]C(=O)[O-])ccc1C=CC(=O)[O-])C=CC(=O)[O-].[O-]C(=O)[CH][CH]c1ccc(n1C=Cn1c([CH][CH]C(=O)[O-])ccc1C=CC(=O)[O-])C=CC(=O)[O-].[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43&&ftw,ttv.cat0",1.827441
[Cd].n1ccc(cc1)c1ccncc1&&sql.cat1,1.774836
[O-]C(=O)c1ccc(c(c1)C)C(=O)[O-].[O-]C(=O)c1sc2c(c1)sc(c2O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.19423
O=CC(=C[CH]C1=C[N]N=C1)[CH][C]1C=NN=C1.O=CC(=C[CH][CH]C1=C(C=O)N=N[CH]1)C1=C[N]N=C1.O=CC1=N[N]C=C1[CH][CH]C=C[C]1C=NN=C1.O=CC1CC2(CC(C1(CC2Br)[C]1C=NN=C1)Br)C1=C[N]N=C1.[Zn]&&hxl.cat0,0.582978
Fc1cc(F)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])cccc1.[Al].[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[OH]&&rna.cat0,1.986299
[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-].[O-]C(=O)c1sc2c(c1F)sc(c2F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.301539
Cl[Co]Cl.n1ccc(cc1)[Te][Te]c1ccncc1&&dia.cat0,0.362859
OC(=O)c1c(F)c(ccc1C(=O)[O-])C(=O)[O-].OC(=O)c1cc(ccc1C(=O)[O-])C(=O)[O-].[Al].[O-]C(=O)C=CC=CC(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[OH]&&rna.cat0,2.601562
Fc1c(c2ccc(cc2)c2c(F)c(nc(c2F)S([O])([O])[O])S([O])([O])O)c(F)c(nc1S(O)([O])[O])S([O])([O])O.[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)O.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn]&&pcu.cat0,0.63697
COC(=O)c1sc(cc1[O])C(=O)[O-].[OH2][Cd]&&fes.cat0,2.402714
S=C1N[N]C(=S)S1.[Zn]&&sql.cat1,2.274655
[Cu].[O]P(=O)(c1ccc2c(n1)cccc2)[O]&&sql.cat0,0.663202
[Cd].[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-].n1ccc(cc1)[N][N]c1ccncc1&&cds.cat0,0.835215
[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[OH2][Zn][Zn][OH2]&&sql.cat0,2.167131
Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd]&&sql.cat0,1.362683
[Cd].[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-].c1ccc(cn1)[CH][N][N][CH]c1cccnc1&&pcu.cat1,2.193566
CCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])C(C2Cl)Cl.CCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2.O[Al][O]([Al])[Al].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)Cl)(C(C2Cl)Cl)C#CC(=O)[O-]&&acs.cat0,0.761342
[O-]C(=O)c1c(F)c(F)c(c2c1CC2)C(=O)[O-].[O-]C(=O)c1sc2c(c1Cl)sc(c2Cl)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.399125
Nc1nccc(c1)[N][N]c1ccnc(c1)N.[O-]C(=O)c1ccc(c2c1cc(N(=O)=O)c(c2)N(=O)=O)C(=O)[O-].[O-]C(=O)c1ccc(cc1N)[N][N]c1ccc(c(c1)N)C(=O)[O-].[Zn][Zn]&&pcu.cat0,0.710285
"[Fe].[O]P(=O)(CN1CCN(CC1)CP(=O)([O])[O])[O]&&pts,dmd.cat0",0.415154
OC(=O)c1cc(C#Cc2cc(C(=O)O)c(c(c2)C(=O)O)C(=O)[O-])cc(c1C(=O)[O-])C(=O)O.[O-]C(=O)C12CCC(CC1)(CC2)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn]&&pcu.cat0,2.55936
CNc1cc(cc(c1c1ccc(cc1)c1c(NC)cc(cc1NC)C(=O)[O-])NC)C(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccc(cc1)c1ccncc1&&pcu.cat0,1.126176
[Al].[O-]C(=O)c1c(N)cc(cc1N)C1=NC(=[N]=C([N]1)c1cc(N)c(c(c1)N)C(=O)[O-])c1cc(N)c(c(c1)N)C(=O)[O-]&&tsg.cat0,1.496418
[O-]C(=O)c1c(Cl)c(Cl)c(c(c1Cl)Cl)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43&&fcu.cat0,1.85961
I[Cu][Cu]I.[Gd].[O-]C(=O)c1ccncc1&&sql.cat0,0.948518
"[Mn].[O-]C(=O)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1&&hxl,pcu.cat0",1.000942
N#C[N]C#N.[Ni]&&hcb.cat0,1.50159
[O]P(=O)[O].[Zn]&&fes.cat0,4.777265
[Cd].[O-]C(=O)CC12CC3CC(C1)CC(C2)(C3)CC(=O)[O-].n1ccc(cc1)c1ccncc1&&sql.cat0,1.96428
O=C1C(=O)C(=O)C1=O.O[Fe]O&&nbo.cat0,0.021296
[Co].n1ccc(cc1)c1ccncc1&&ths.cat0,0.41733
[Ag][Ag].[O-]C(=O)C1CCC(CC1)C(=O)[O-]&&gwg.cat0,2.885121
Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1ncn(c1)c1ccc(cc1)Oc1ccc(cc1)n1cncc1&&hcb.cat0,3.147763
[O-]C(=O)c1cc(Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[OH2][Co][OH]([Co]([OH2])[OH2])[Co][OH]([Co]([OH2])[OH2])[Co][OH2]&&sql.cat0,0.37712
